                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3935,                 14.694,                 1.8603,                 0.5147,                0.16667,                0.03366,                0.02541,                 1.5509,                 8.0289,                 1.5434,                  2e-05,                  2e-05,                  2e-05
                      2,                 2.2503,                 7.7922,                 1.6984,                0.40525,                0.16667,                0.10721,                0.07427,                  1.413,                 8.5663,                 1.3596,               4.89e-05,               4.89e-05,               4.89e-05
                      3,                 1.7793,                 5.7822,                 1.5395,                0.04424,                0.59722,                0.22656,                0.17261,                 1.2615,                 23.604,                 1.3922,              7.648e-05,              7.648e-05,              7.648e-05
                      4,                 1.7855,                 5.1579,                 1.4722,                0.04364,                  0.375,                0.05077,                0.03357,                 1.2631,                 48.323,                 1.3858,             0.00010274,             0.00010274,             0.00010274
                      5,                 1.9471,                 4.9695,                 1.5453,                0.31172,                0.15278,                0.12122,                0.07107,                 1.2578,                 79.971,                 1.3437,             0.00012768,             0.00012768,             0.00012768
                      6,                  1.502,                 4.7279,                 1.3873,                0.15127,                0.20833,                0.14399,                0.07707,                 1.2507,                 85.193,                  1.292,              0.0001513,              0.0001513,              0.0001513
                      7,                 1.5067,                 4.3811,                 1.3139,                0.19365,                0.20833,                0.12536,                0.07867,                 1.2666,                 66.697,                 1.3014,              0.0001736,              0.0001736,              0.0001736
                      8,                 1.7736,                 3.9311,                 1.3669,                0.09624,                  0.375,                0.07761,                0.05718,                 1.2868,                 50.043,                 1.2548,             0.00019458,             0.00019458,             0.00019458
                      9,                 1.7638,                 4.1279,                 1.3912,                0.05841,                0.15278,                0.03922,                0.02351,                 1.3521,                 23.564,                 1.1714,             0.00021424,             0.00021424,             0.00021424
                     10,                  1.558,                 3.3504,                 1.3194,                0.25851,                  0.375,                0.09189,                0.04088,                 1.4867,                 13.791,                 1.2399,             0.00023258,             0.00023258,             0.00023258
                     11,                 1.4204,                 3.7915,                 1.3661,                0.27455,                0.43056,                0.14418,                0.05245,                 1.4867,                 13.791,                 1.2399,              0.0002496,              0.0002496,              0.0002496
                     12,                 1.6815,                 3.7913,                 1.2659,                0.67194,                0.33333,                  0.281,                0.14864,                 1.4947,                 7.1662,                 1.3079,              0.0002653,              0.0002653,              0.0002653
                     13,                  1.533,                 3.2437,                 1.3153,                0.33659,                0.46858,                 0.2484,                0.11485,                 1.4947,                 7.1662,                 1.3079,             0.00027968,             0.00027968,             0.00027968
                     14,                 1.5897,                 3.6771,                 1.2873,                0.49841,                0.60514,                0.31935,                0.17524,                 1.5025,                 5.5012,                 1.2622,             0.00029274,             0.00029274,             0.00029274
                     15,                 1.7086,                 3.8981,                 1.2892,                0.49841,                0.60514,                0.31935,                0.17524,                 1.5025,                 5.5012,                 1.2622,             0.00030448,             0.00030448,             0.00030448
                     16,                 1.5905,                 3.5545,                 1.1967,                0.38791,                0.47222,                0.42241,                  0.206,                 1.4671,                 4.9356,                 1.2606,              0.0003149,              0.0003149,              0.0003149
                     17,                 1.8194,                 3.3288,                  1.393,                0.38791,                0.47222,                0.42241,                  0.206,                 1.4671,                 4.9356,                 1.2606,               0.000324,               0.000324,               0.000324
                     18,                 1.5601,                 3.2123,                  1.193,                0.65273,                0.55351,                0.61816,                0.35537,                 1.3611,                 4.1952,                 1.2049,             0.00033178,             0.00033178,             0.00033178
                     19,                  1.514,                 3.0779,                 1.2341,                0.65273,                0.55351,                0.61816,                0.35537,                 1.3611,                 4.1952,                 1.2049,             0.00033824,             0.00033824,             0.00033824
                     20,                 1.6234,                 3.0982,                 1.3529,                0.65273,                0.55351,                0.61816,                0.35537,                 1.3611,                 4.1952,                 1.2049,             0.00034338,             0.00034338,             0.00034338
                     21,                 1.5447,                 2.9377,                 1.2428,                 0.5653,                0.59489,                0.64736,                0.39192,                 1.4611,                  3.912,                 1.2258,              0.0003472,              0.0003472,              0.0003472
                     22,                 1.5114,                  2.948,                  1.143,                 0.5653,                0.59489,                0.64736,                0.39192,                 1.4611,                  3.912,                 1.2258,              0.0003497,              0.0003497,              0.0003497
                     23,                 1.6369,                 3.4161,                 1.2758,                 0.5653,                0.59489,                0.64736,                0.39192,                 1.4611,                  3.912,                 1.2258,             0.00035088,             0.00035088,             0.00035088
                     24,                 1.6799,                 2.9953,                 1.2104,                 0.8075,                0.38558,                0.42933,                0.19747,                 1.8921,                 4.1688,                 1.4024,             0.00035074,             0.00035074,             0.00035074
                     25,                 1.4888,                   2.86,                 1.1669,                 0.8075,                0.38558,                0.42933,                0.19747,                 1.8921,                 4.1688,                 1.4024,             0.00034928,             0.00034928,             0.00034928
                     26,                 1.5944,                 3.0015,                 1.3163,                 0.8075,                0.38558,                0.42933,                0.19747,                 1.8921,                 4.1688,                 1.4024,              0.0003465,              0.0003465,              0.0003465
                     27,                 1.3746,                 3.1177,                 1.3062,                0.55088,                0.38763,                0.41006,                0.22636,                 1.7869,                 4.2784,                 1.3802,              0.0003424,              0.0003424,              0.0003424
                     28,                  1.582,                 2.7804,                 1.2155,                0.55088,                0.38763,                0.41006,                0.22636,                 1.7869,                 4.2784,                 1.3802,             0.00033698,             0.00033698,             0.00033698
                     29,                 1.8186,                 3.1577,                 1.3745,                0.55088,                0.38763,                0.41006,                0.22636,                 1.7869,                 4.2784,                 1.3802,             0.00033024,             0.00033024,             0.00033024
                     30,                 1.5046,                 3.2405,                 1.2473,                0.55088,                0.38763,                0.41006,                0.22636,                 1.7869,                 4.2784,                 1.3802,             0.00032218,             0.00032218,             0.00032218
                     31,                 1.6882,                 2.8624,                 1.2162,                0.57063,                0.52044,                  0.441,                0.26682,                 1.7117,                 4.0988,                 1.2914,              0.0003128,              0.0003128,              0.0003128
